"full_name","seasons","logo_href","completions","interceptions","pass_attempts","passing_tds","passing_yards","sacks","games_played","total_offensive_plays","rush_attempts","rushing_tds","rushing_yards","completion_percentage","td_int_ratio","yards_per_attempt","pass_yards_per_game","rush_yards_per_game","yards_per_carry"
"Anthony Richardson Sr.",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/57.png",215,15,393,24,3105,16,38,570,161,12,1116,54.71,1.6,7.9,81.7,29.4,6.93
"Baker Mayfield",4,"https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png",1026,30,1497,131,14607,107,53,2008,404,21,1083,68.54,4.37,9.76,275.6,20.4,2.68
"Bo Nix",5,"https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png",1286,26,1936,113,15352,60,64,2401,405,38,1613,66.43,4.35,7.93,239.9,25.2,3.98
"Bryce Young",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/333.png",624,12,949,80,8356,63,41,1151,139,7,162,65.75,6.67,8.81,203.8,4,1.17
"C.J. Stroud",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/194.png",575,12,830,85,8123,25,34,935,80,1,136,69.28,7.08,9.79,238.9,4,1.7
"Caleb Williams",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/30.png",735,14,1099,93,10082,83,40,1471,289,27,960,66.88,6.64,9.17,252.1,24,3.32
"Cam Ward",4,"https://a.espncdn.com/i/teamlogos/ncaa/500/2916.png",1332,33,2026,134,15927,139,51,2529,364,18,467,65.75,4.06,7.86,312.3,9.2,1.28
"Daniel Jones",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/150.png",764,29,1275,52,8201,85,38,1766,406,17,1323,59.92,1.79,6.43,215.8,34.8,3.26
"Deshaun Watson",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/228.png",814,32,1207,90,10163,40,43,1682,435,26,1934,67.44,2.81,8.42,236.3,45,4.45
"Drake Maye",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",618,16,952,63,8018,70,40,1324,302,16,1209,64.92,3.94,8.42,200.4,30.2,4
"Dwayne Haskins",2,"https://a.espncdn.com/i/teamlogos/ncaa/500/194.png",413,9,590,54,5396,23,28,716,103,4,194,70,6,9.15,192.7,6.9,1.88
"J.J. McCarthy",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/130.png",482,11,713,49,6226,34,43,908,161,10,632,67.6,4.45,8.73,144.8,14.7,3.93
"Jameis Winston",2,"https://a.espncdn.com/i/teamlogos/ncaa/500/52.png",562,28,851,65,7964,44,28,1040,145,7,284,66.04,2.32,9.36,284.4,10.1,1.96
"Jared Goff",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/25.png",977,30,1569,96,12200,84,37,1823,170,1,-114,62.27,3.2,7.78,329.7,-3.1,-0.67
"Jaxson Dart",4,"https://a.espncdn.com/i/teamlogos/ncaa/500/30.png",852,27,1307,81,11970,74,51,1774,393,14,1543,65.19,3,9.16,234.7,30.3,3.93
"Jayden Daniels",5,"https://a.espncdn.com/i/teamlogos/ncaa/500/99.png",953,20,1438,89,12749,129,57,2184,617,34,3307,66.27,4.45,8.87,223.7,58,5.36
"Joe Burrow",4,"https://a.espncdn.com/i/teamlogos/ncaa/500/99.png",650,11,945,78,8852,70,55,1273,258,13,820,68.78,7.09,9.37,160.9,14.9,3.18
"Jordan Love",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/328.png",689,29,1125,60,8600,36,39,1331,170,9,403,61.24,2.07,7.64,220.5,10.3,2.37
"Josh Allen",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png",365,21,649,44,5066,49,39,936,238,12,756,56.24,2.1,7.81,129.9,19.4,3.18
"Josh Rosen",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/26.png",712,26,1170,59,9341,54,38,1333,109,6,-154,60.85,2.27,7.98,245.8,-4.1,-1.41
"Justin Fields",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/61.png",423,9,618,67,5701,56,36,934,260,19,1133,68.45,7.44,9.22,158.4,31.5,4.36
"Justin Herbert",4,"https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png",827,23,1293,95,10541,74,52,1598,231,13,560,63.96,4.13,8.15,202.7,10.8,2.42
"Kenny Pickett",5,"https://a.espncdn.com/i/teamlogos/ncaa/500/221.png",1045,32,1674,81,12303,114,64,2204,416,20,809,62.43,2.53,7.35,192.2,12.6,1.94
"Kyler Murray",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/245.png",350,14,519,50,5406,26,41,752,207,13,1478,67.44,3.57,10.42,131.9,36,7.14
"Lamar Jackson",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/97.png",619,27,1086,69,9043,101,39,1842,655,50,4132,57,2.56,8.33,231.9,105.9,6.31
"Mac Jones",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/333.png",413,7,556,56,6126,16,41,626,54,2,42,74.28,8,11.02,149.4,1,0.78
"Marcus Mariota",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png",779,14,1167,105,10796,66,41,1570,337,29,2237,66.75,7.5,9.25,263.3,54.6,6.64
"Michael Penix Jr.",6,"https://a.espncdn.com/i/teamlogos/ncaa/500/84.png",1067,34,1685,96,13741,32,73,1851,134,13,265,63.32,2.82,8.15,188.2,3.6,1.98
"Patrick Mahomes",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png",857,29,1349,93,11252,63,37,1720,308,22,845,63.53,3.21,8.34,304.1,22.8,2.74
"Paxton Lynch",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/235.png",758,23,1205,59,8863,57,38,1550,288,17,687,62.9,2.57,7.36,233.2,18.1,2.39
"Sam Darnold",2,"https://a.espncdn.com/i/teamlogos/ncaa/500/30.png",549,22,846,57,7229,35,27,1018,137,7,332,64.89,2.59,8.54,267.7,12.3,2.42
"Trevor Lawrence",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/228.png",758,17,1138,90,10098,43,42,1412,231,18,943,66.61,5.29,8.87,240.4,22.5,4.08
"Trey Lance",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png",208,1,318,30,2947,15,32,525,192,18,1325,65.41,30,9.27,92.1,41.4,6.9
"Tua Tagovailoa",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/333.png",474,11,684,87,7442,26,42,817,107,9,340,69.3,7.91,10.88,177.2,8.1,3.18
"Zach Wilson",3,"https://a.espncdn.com/i/teamlogos/ncaa/500/252.png",566,15,837,56,7652,53,38,1102,212,15,642,67.62,3.73,9.14,201.4,16.9,3.03
